2101,2,3,2,11,10,2,5,7,L3664NML
2102,3,3,3,14,12,0,2,1,LC3664NML
2103,2,3,4,14,14,3,0,5,C366NML
2104,1,2,0,13,11,2,1,0,LCML
2105,2,0,5,9,14,2,0,3,64NML
2106,2,0,0,12,12,5,7,2,LC3664NML
2107,0,0,7,9,12,0,1,0,LL
2108,3,3,2,14,14,0,0,0,LC3664NML
2109,1,2,5,4,13,1,10,7,L4NML
2110,3,4,3,14,12,11,1,0,LC3LC3LC3
2111,0,0,2,13,13,5,2,6,4
2112,1,1,2,9,8,0,1,5,LC366ML
2113,1,1,0,5,0,1,0,6,L36NL
2114,1,0,4,14,14,8,3,0,LC3664NML
2115,1,2,1,11,12,0,0,1,LL
2116,0,0,4,10,12,0,10,3,NML
2117,1,4,0,10,11,4,11,0,L6
2118,1,0,4,14,14,2,0,0,LC34NML
2119,3,11,1,11,13,0,0,6,LC3664ML
2120,2,2,1,14,7,1,0,0,CNML

